fid,id,open_date,name,location,lat,lon,threat,tags,commodity,measure_skim,measure_shore,measure_bio,measure_disperse,measure_burn,max_ptl_release_gallons,posts,description
1482,8930,2015/05/15,"M/V Aubi; Punta Tuna, Arecibo, Puerto Rico","Punta Tuna, Arecibo, Puerto Rico",18.4913888889,-67.9788888889,Oil,Coral|Grounding,diesel fuel,,,,,,800,0,"On May 14, 2015, the M/V Aubi, a powered catamaran, ran aground in the vicinity of Punta Tuna, Aercibo, Puerto Rico. The aluminum vessel is reported to contain 800 gallons of diesel fuel. A towing company has been hired for salvage operations. The vessel is hard aground and there are coral in the area. Coral damage has been reported due to the grounding."
1867,7704,2007/10/29,"M/V SCF TOMSK; Dominican Republic",Dominican Republic,18.44,-69.2517,Oil,,LPG,,,,,,,24,"USCG Sector San Juan is responding to a grounded tank ship on the south coast of the Dominican Republic at position 18-26.4N; 069-15.1W.  On 29 Oct the M/T SCF Tomsk, a Liberian-flagged liquefied petroleum gas (LPG) carrier with approx. 5000 MT of LPG cargo, 900 MT of heavy fuel oil,  and 108 MT of diesel, broke free from its mooring and grounded on a nearby reef.  The ship is 200 yards south of San Pedro Macoris (approx 50 mi. east of Santa Domingo) and about a quarter of a mile east of and LPG facility.  No injuries were reported to the 23 crewmembers and 4 company representatives aboard.6-10 ft. seas and high winds continue to push the vessel onto the reef.  Tug assist is unavailable due to shallow water.  Vessel list is reported at five degrees."
2522,6669,1989/02/24,"T/V CAPTAIN W. ARVELO; Northeast Coast, Dominican Republic","Northeast Coast, Dominican Republic",19.4,-69.155,,,Bunker C fuel oil,,,,,,,6,"The tanker CAPTAIN W. ARVELO sank in high winds in the early morning hours of February 24, 1989, five nautical miles north of the northeast coast of the Dominican Republic.   The vessel carried approximately 200,000 gallons of bunker C fuel oil.  USCG district 7."
2523,6666,1989/02/15,"T/B GRAN TOR; Northeast Coast of Dominican Republic",Northeast Coast of Dominican Republic,19.44,-69.048,,,Bunker C fuel oil,,,,,,,3,"On February 15, 1989, the tug ALICE M. WINSLOW and tank barge GRAN TOR ran aground on a reef about 800 yards off the northeast coast of the Dominican Republic. The barge's cargo consisted of approximately 18,000 barrels of bunker C fuel oil.  Sheens emanated from both vessels but appeared to be diesel fuel from the tug and runoff from the deck of the barge.  USCG district 7."
1585,8500,2012/08/27,"Hansa Berlin; Mariel, Cuba","Mariel, Cuba",23.0333333333,-82.7833333333,Oil,Grounding,RNH 380 and diesel-possible container cargo,,,,,,200000,0,"A 474 foot container ship is aground on the coast of Cuba off Mariel.  The vessel has RNH 380 (174,426 gal) and diesel (27,500 gal) aboard. Weather and seas caused by tropical storm Issac has prevented response so far.  USCG is expecting the ship to lose the fuel and has requested a trajectory from NOAA."
1603,8443,2012/05/11,"T/S Yare; 88 NM South of Andros Island, Bahamas","88 NM South of Andros Island, Bahamas",22.1885,-77.2773333333,Oil,Grounding,crude oil,,,,,,10290000,0,"A 750 foot Venezuelan tanker, the Yare, grounded 88 nm south of Andros Island, Bahamas on 10 May 2012 at approximately 1500 EST.  The vessel is reported to be carrying a cargo of 245,000 barrels of crude oil plus an unknown quantity of ship's diesel fuel.  The vessel is reported to be aground the entire length of the hull.  No spill has been reported.  USCG is monitoring and conducting an overflight of the area this morning (5/11/12).  NOAA SSC has been asked to provide a trajectory, weather FT and oil fate info."
2349,7103,1995/07/15,"M/V Shamwari; 25 miles north of Havana, Cuba","25 miles north of Havana, Cuba",23.4167,-82.9667,,,#2 marine diesel,,,,,,4000,6,"At approximately 1400 on July 15, 1995, the USCG received a report of a capsized and was sinking 112-foot motor vessel located 25 miles north of Havana, Cuba.  The vessel had 4,000 gallons of diesel fuel onboard.  USCG district 7.  Keyword: potential spill, salvage."
19,10742,2024/02/10,"Grounded Fishing Vessel Aleutian Storm; Bodega Bay, CA","Bodega Bay, CA",38.332,-123.07,Oil,,diesel,,,,,,1500,0,"On February 10, 2024, the USCG Sector San Francisco contacted their NOAA SSC to report the grounding of the F/V ALEUTIAN STORM near Salmon Creek, just north of Bodega Bay, CA.  The vessel was on the beach amidst the surf.  No pollution was observed, but the vessel reportedly had 1,500 gallons of diesel on board.  USCG sought oil fate & transport info in the event of a release prior to or during vessel salvage operations."
22,10728,2024/01/30,"Gray whale carcass; Solana Beach, CA","Solana Beach, CA",32.9903885417489,-117.277507781982,Other,,Whale carcass,,,,,,,0,"On 30-JAN-2024, the NMFS Stranding Coordinator in CA contacted the NOAA SSC regarding a 35-foot-long gray whale carcass on Solano Beach, CA. The carcass will likely be towed offshore within 24 hours before high winds move into the area. NMFS requested a carcass drift estimate to aid in determining how far offshore to tow the carcass so it does not re-beach in the upcoming days."
23,10718,2024/01/17,"M/V Oz Aground, Spieden Island, San Juan Islands, WA",,48.6475,-123.12944444,Oil,Grounding,diesel,,,,,,120,0,"On January 17, 2024, the USCG Sector Puget Sound notified the NOAA SSC NW that the M/V Oz went aground 16-Jan off Cactus Island, north of San Juan Island, WA. There is approx. 120 gallons of diesel on board, with a max. potential of 190 gallons, but no observed sheen or release of oil on the water. The USCG is requesting information on Resources at Risk due to sensitive environmental concerns in the area."
